wavelength,irradiance
380,0.0008
381,0.0007
382,0.0021
383,0.0003
384,0.0019
385,0.0006
386,0.0023
387,0.0019
388,0.0008
389,0.0013
390,0.0009
391,0.0018
392,0.0008
393,0.0004
394,0.0001
395,0.001
396,0.0015
397,0.0018
398,0.0013
399,0.001
400,0.0021
401,0.0016
402,0.0005
403,0.0028
404,0.0021
405,0.0016
406,0.0019
407,0.0031
408,0.0037
409,0.0026
410,0.0037
411,0.0033
412,0.0039
413,0.0036
414,0.0037
415,0.0062
416,0.0058
417,0.0079
418,0.0078
419,0.0103
420,0.0118
421,0.0134
422,0.015
423,0.0175
424,0.0201
425,0.022
426,0.0259
427,0.0287
428,0.0335
429,0.0385
430,0.044
431,0.049
432,0.0548
433,0.0605
434,0.0668
435,0.0755
436,0.0831
437,0.0921
438,0.1005
439,0.1133
440,0.1232
441,0.1349
442,0.147
443,0.1605
444,0.177
445,0.1929
446,0.213
447,0.2327
448,0.2558
449,0.278
450,0.3026
451,0.3181
452,0.3401
453,0.3529
454,0.3678
455,0.3748
456,0.3759
457,0.3709
458,0.3598
459,0.3448
460,0.3264
461,0.3083
462,0.2885
463,0.2679
464,0.2522
465,0.2361
466,0.2221
467,0.2131
468,0.2008
469,0.1939
470,0.1861
471,0.1811
472,0.1728
473,0.1659
474,0.1609
475,0.1515
476,0.1454
477,0.1401
478,0.135
479,0.1279
480,0.1231
481,0.119
482,0.1167
483,0.1152
484,0.1151
485,0.1144
486,0.1144
487,0.1159
488,0.1177
489,0.1199
490,0.1231
491,0.1252
492,0.131
493,0.1337
494,0.1378
495,0.1429
496,0.1497
497,0.1567
498,0.162
499,0.1711
500,0.1775
501,0.1857
502,0.1952
503,0.2046
504,0.213
505,0.2242
506,0.2335
507,0.2424
508,0.2528
509,0.2632
510,0.2715
511,0.2834
512,0.2902
513,0.3038
514,0.3125
515,0.3197
516,0.3316
517,0.3369
518,0.3439
519,0.3528
520,0.3606
521,0.3729
522,0.3744
523,0.3844
524,0.3915
525,0.3998
526,0.407
527,0.415
528,0.4213
529,0.4283
530,0.4373
531,0.4401
532,0.4424
533,0.4519
534,0.4595
535,0.4646
536,0.4678
537,0.4736
538,0.4837
539,0.487
540,0.4925
541,0.4989
542,0.5055
543,0.5147
544,0.5173
545,0.5261
546,0.5351
547,0.543
548,0.5463
549,0.5566
550,0.5643
551,0.5718
552,0.58
553,0.5903
554,0.5968
555,0.6043
556,0.6157
557,0.6286
558,0.6368
559,0.6476
560,0.6563
561,0.6669
562,0.6768
563,0.6903
564,0.7008
565,0.7124
566,0.7194
567,0.7292
568,0.7428
569,0.7541
570,0.7629
571,0.7787
572,0.7871
573,0.8002
574,0.8111
575,0.8232
576,0.8358
577,0.8446
578,0.8546
579,0.8672
580,0.8803
581,0.885
582,0.898
583,0.9072
584,0.9178
585,0.9276
586,0.9337
587,0.9428
588,0.954
589,0.9589
590,0.9614
591,0.9732
592,0.9817
593,0.9779
594,0.9791
595,0.9899
596,0.9914
597,0.9938
598,0.9925
599,0.9947
600,0.999
601,0.9967
602,0.9957
603,0.9937
604,0.9945
605,0.988
606,0.9826
607,0.9861
608,0.9807
609,0.9743
610,0.9694
611,0.9596
612,0.9547
613,0.9504
614,0.9437
615,0.9425
616,0.9286
617,0.9165
618,0.9165
619,0.9001
620,0.8957
621,0.8816
622,0.8707
623,0.8632
624,0.8497
625,0.8347
626,0.8271
627,0.816
628,0.7973
629,0.7908
630,0.7758
631,0.7652
632,0.7532
633,0.7405
634,0.7248
635,0.7168
636,0.7027
637,0.6892
638,0.6796
639,0.6633
640,0.6538
641,0.6393
642,0.6252
643,0.6129
644,0.6007
645,0.5875
646,0.577
647,0.5661
648,0.5517
649,0.5394
650,0.5269
651,0.5168
652,0.5037
653,0.4922
654,0.484
655,0.4694
656,0.4604
657,0.4455
658,0.4359
659,0.4249
660,0.4142
661,0.4029
662,0.3946
663,0.3867
664,0.3757
665,0.3656
666,0.3596
667,0.3435
668,0.3369
669,0.3315
670,0.3181
671,0.3111
672,0.302
673,0.2934
674,0.287
675,0.2791
676,0.2715
677,0.2638
678,0.2568
679,0.2485
680,0.2427
681,0.2325
682,0.2296
683,0.2229
684,0.2144
685,0.2101
686,0.205
687,0.1986
688,0.1935
689,0.186
690,0.1823
691,0.1765
692,0.1689
693,0.1653
694,0.1611
695,0.1563
696,0.1528
697,0.1471
698,0.1444
699,0.1397
700,0.134
701,0.1308
702,0.1284
703,0.1241
704,0.1198
705,0.1174
706,0.1106
707,0.1084
708,0.1064
709,0.1035
710,0.0991
711,0.0971
712,0.0947
713,0.0913
714,0.0894
715,0.0864
716,0.0846
717,0.0825
718,0.0785
719,0.0778
720,0.0722
721,0.073
722,0.0697
723,0.0665
724,0.0661
725,0.0628
726,0.0615
727,0.0596
728,0.0584
729,0.0571
730,0.0555
731,0.0541
732,0.0515
733,0.0498
734,0.0474
735,0.0459
736,0.0462
737,0.0439
738,0.0431
739,0.0411
740,0.0401
741,0.0392
742,0.0378
743,0.0363
744,0.0354
745,0.0351
746,0.0343
747,0.0329
748,0.0328
749,0.0305
750,0.0304
751,0.029
752,0.0288
753,0.0274
754,0.0262
755,0.0256
756,0.0249
757,0.024
758,0.0244
759,0.0228
760,0.0226
761,0.022
762,0.0199
763,0.0202
764,0.0208
765,0.0186
766,0.0191
767,0.0175
768,0.0176
769,0.017
770,0.0166
771,0.0153
772,0.0155
773,0.0159
774,0.015
775,0.0147
776,0.0148
777,0.014
778,0.0135
779,0.014
780,0.0119
